age,kids,hours,domain,skill,education,city_type,language,device,work_mode,work_type,income
45,3,4,Electrician,Appliance Maintenance,8th,Urban,English,Laptop,Offline Local,Appliance Fixing,16519
46,0,5,Commerce,Accounting,PG,Semi-Urban,Hindi,Mobile,Work From Home,Invoice Processing,24112
49,2,1,Music,Singing,Diploma,Urban,Both,Both,Work From Home,Singer for Events,12760
47,2,5,Gardening,Plant Care,PG,Rural,Hindi,Laptop,Offline Local,Home Gardening Service,16779
24,1,1,Fitness,Yoga,8th,Semi-Urban,Hindi,Laptop,Work From Home,Yoga Instructor Online,12891
38,4,8,Doctor,Consultation,Diploma,Urban,Both,Laptop,Work From Home,Clinic Support,31046
39,2,7,Social Media,Instagram,No Formal,Semi-Urban,Hindi,Mobile,Offline Local,Instagram Reels Editor,20403
25,0,2,E-Commerce,Packing,Diploma,Urban,English,Mobile,Work From Home,Order Processing,10924
32,0,4,E-Commerce,Inventory,UG,Rural,Both,Both,Work From Home,Order Processing,16068
28,4,2,Doctor,Consultation,UG,Semi-Urban,Both,Laptop,Offline Local,Telemedicine Assistant,26162
23,1,1,Cooking,Cooking,Diploma,Urban,Both,Both,Offline Local,Cooking Classes Online,11371
38,2,8,Electrician,Appliance Maintenance,10th,Semi-Urban,Both,Both,Hybrid,Electrical Repair Services,21778
25,1,7,Beauty,Hair Styling,Diploma,Semi-Urban,Both,Mobile,Work From Home,Home Salon,19167
21,4,6,Fitness,Nutrition,10th,Semi-Urban,English,Both,Offline Local,Diet Coach,20264
26,3,5,Nurse,Nursing Care,PG,Urban,English,Mobile,Work From Home,Home Care Nurse,27997
33,0,5,Fitness,Nutrition,12th,Urban,Hindi,Mobile,Hybrid,Yoga Instructor Online,20670
22,2,3,Gardening,Gardening,12th,Semi-Urban,English,Both,Work From Home,Nursery Worker,9561
21,1,3,Commerce,Tally,PG,Rural,Both,Both,Work From Home,GST Filing Assistant,18528
41,2,4,Social Media,Content Writing,10th,Semi-Urban,Hindi,Mobile,Hybrid,Content Creator,18616
24,3,6,Beauty,Hair Styling,8th,Semi-Urban,Both,Mobile,Offline Local,Mehndi Artist,17213
32,1,2,Doctor,Patient Support,10th,Rural,English,Laptop,Work From Home,Clinic Support,23511
41,2,8,Labour,Loading/Unloading,Diploma,Urban,Both,Both,Offline Local,Warehouse Helper,16456
42,3,7,Gardening,Nursery Management,No Formal,Semi-Urban,Both,Mobile,Offline Local,Home Gardening Service,17312
29,1,6,Data Entry,Typing,Diploma,Semi-Urban,Both,Mobile,Hybrid,Excel Assistant,16942
30,3,3,Electrician,Appliance Maintenance,8th,Urban,Hindi,Mobile,Offline Local,Electrical Repair Services,16299
22,2,6,Data Entry,Excel,10th,Rural,Both,Mobile,Offline Local,Data Entry,17994
45,1,2,Clothing,Embroidery,UG,Urban,Both,Laptop,Offline Local,Clothing Seller Online,14220
20,1,6,Cooking,Food Packaging,10th,Semi-Urban,Both,Mobile,Hybrid,Cooking Classes Online,16275
28,0,6,Teaching,Subject Knowledge,10th,Urban,English,Mobile,Offline Local,Home Tuition,22467
27,0,1,Music,Instrument Playing,8th,Urban,English,Mobile,Work From Home,Singer for Events,12525
34,1,1,Clothing,Embroidery,UG,Rural,Hindi,Laptop,Offline Local,Clothing Seller Online,15694
42,0,4,Handicraft,Art,UG,Urban,Both,Laptop,Hybrid,Art & Craft Business,17409
30,0,7,Beauty,Makeup,8th,Semi-Urban,Hindi,Mobile,Offline Local,Mehndi Artist,22150
49,0,5,Baking,Cake Decoration,10th,Semi-Urban,Both,Both,Work From Home,Dessert Selling Online,15305
28,0,3,Gardening,Plant Care,Diploma,Urban,English,Laptop,Hybrid,Home Gardening Service,12730
44,2,3,Gardening,Plant Care,12th,Rural,Hindi,Laptop,Hybrid,Plant Selling,10541
37,3,3,Nurse,Nursing Care,10th,Rural,Both,Both,Hybrid,Clinic Nurse,18303
50,3,1,Government,Clerk Skills,Diploma,Semi-Urban,Hindi,Both,Work From Home,Data Entry Operator,15930
32,1,2,Baking,Chocolate Making,12th,Rural,Hindi,Both,Work From Home,Home Bakery,13467
50,0,8,Handicraft,Craft Making,10th,Semi-Urban,English,Both,Hybrid,Art & Craft Business,19919
21,1,5,Commerce,Accounting,PG,Semi-Urban,Hindi,Mobile,Offline Local,GST Filing Assistant,23494
21,1,4,Electrician,Electrical Repair,PG,Rural,Hindi,Laptop,Hybrid,Home Electrician,19330
30,2,3,Baking,Chocolate Making,Diploma,Semi-Urban,Both,Laptop,Work From Home,Custom Cake Business,15786
24,0,2,Clothing,Stitching,Diploma,Urban,Hindi,Mobile,Work From Home,Boutique Business,14133
23,3,2,IT,Video Editing,8th,Rural,Hindi,Both,Offline Local,Freelancing,21176
46,2,2,Security,Discipline,PG,Urban,English,Both,Offline Local,Night Guard,12507
30,2,6,Social Media,Content Writing,UG,Rural,Both,Mobile,Work From Home,Instagram Reels Editor,25109
48,1,3,Nurse,Patient Monitoring,10th,Rural,English,Both,Work From Home,Home Care Nurse,20560
28,2,4,Commerce,Accounting,PG,Semi-Urban,English,Mobile,Hybrid,GST Filing Assistant,23091
29,1,8,Baking,Baking,12th,Rural,Hindi,Both,Work From Home,Home Bakery,21122
40,3,7,Banking,Data Entry,12th,Rural,Hindi,Mobile,Offline Local,Customer Support,24552
43,3,6,Government,Documentation,10th,Urban,Both,Mobile,Work From Home,Office Assistant,22894
45,3,5,Government,Documentation,12th,Urban,English,Mobile,Hybrid,Data Entry Operator,24332
38,0,6,Gardening,Gardening,Diploma,Rural,Both,Both,Work From Home,Nursery Worker,17913
26,2,4,Electrician,Electrical Repair,12th,Urban,Hindi,Laptop,Work From Home,Electrical Repair Services,19203
22,0,3,Music,Instrument Playing,UG,Urban,Hindi,Both,Work From Home,Instrument Tutor,14486
45,2,5,Clothing,Embroidery,12th,Rural,English,Laptop,Hybrid,Tailoring,14917
33,1,2,Teaching,Communication,No Formal,Semi-Urban,English,Laptop,Hybrid,Home Tuition,15867
22,2,5,Electrician,Appliance Maintenance,12th,Urban,Hindi,Mobile,Work From Home,Electrical Repair Services,18118
39,0,1,Banking,Sales,UG,Urban,Hindi,Both,Work From Home,Customer Support,17105
34,2,1,Baking,Baking,12th,Urban,Hindi,Both,Offline Local,Custom Cake Business,12871
31,2,1,Cooking,Food Packaging,10th,Rural,Hindi,Laptop,Offline Local,Catering Assistant,9642
48,1,1,Cooking,Cooking,Diploma,Urban,English,Mobile,Offline Local,Meal Prep Business,8930
47,2,1,Commerce,Accounting,No Formal,Rural,English,Mobile,Work From Home,Invoice Processing,13981
50,3,1,Baking,Chocolate Making,Diploma,Urban,Hindi,Mobile,Work From Home,Dessert Selling Online,12847
50,2,6,Nurse,First Aid,PG,Rural,English,Laptop,Hybrid,Patient Support Online,29301
27,2,6,Commerce,Tally,8th,Urban,Hindi,Mobile,Work From Home,GST Filing Assistant,20729
35,2,8,Beauty,Makeup,10th,Urban,Hindi,Both,Work From Home,Home Salon,22288
22,0,6,Social Media,Content Writing,8th,Semi-Urban,Hindi,Both,Work From Home,Social Media Manager,20355
20,0,7,Labour,Helper Skills,8th,Urban,English,Both,Offline Local,Warehouse Helper,15349
48,1,8,Gardening,Gardening,PG,Rural,Both,Mobile,Work From Home,Plant Selling,19483
32,3,5,Gardening,Nursery Management,12th,Urban,Hindi,Mobile,Work From Home,Nursery Worker,14066
35,2,3,Gardening,Nursery Management,10th,Urban,Hindi,Both,Work From Home,Home Gardening Service,10506
38,1,4,Cleaning,Organization,10th,Rural,English,Laptop,Work From Home,Office Cleaning,11814
23,3,2,E-Commerce,Packing,UG,Semi-Urban,Hindi,Both,Hybrid,Order Processing,12530
31,3,5,IT,Video Editing,PG,Semi-Urban,English,Both,Hybrid,Graphic Designing,26109
40,2,3,Gardening,Gardening,UG,Rural,English,Both,Offline Local,Home Gardening Service,11135
36,2,3,Commerce,Tally,10th,Urban,Hindi,Laptop,Work From Home,Invoice Processing,17748
23,1,7,Cooking,Food Packaging,10th,Semi-Urban,Hindi,Laptop,Work From Home,Home Tiffin Service,18785
20,2,7,Security,Communication,PG,Rural,Both,Both,Work From Home,Security Guard,21924
24,0,4,Labour,Loading/Unloading,PG,Urban,Hindi,Mobile,Offline Local,Factory Worker,15868
47,2,3,Banking,Sales,8th,Semi-Urban,English,Mobile,Hybrid,Customer Support,16618
20,2,3,Beauty,Hair Styling,PG,Urban,English,Laptop,Work From Home,Makeup Artist,20085
50,1,2,Social Media,Content Writing,10th,Semi-Urban,Hindi,Mobile,Offline Local,Content Creator,18169
47,2,1,Data Entry,Data Management,No Formal,Semi-Urban,Both,Mobile,Offline Local,Typing Work,10741
27,3,2,Baking,Baking,Diploma,Semi-Urban,Hindi,Laptop,Work From Home,Home Bakery,15515
45,0,8,Social Media,Content Writing,12th,Semi-Urban,Both,Both,Offline Local,Social Media Manager,25179
23,1,4,Social Media,Content Writing,12th,Urban,Both,Laptop,Hybrid,Content Creator,20913
24,1,4,Cooking,Cooking,10th,Semi-Urban,Both,Both,Hybrid,Cooking Classes Online,14353
21,2,5,Fitness,Exercise Training,12th,Urban,Hindi,Mobile,Work From Home,Diet Coach,20736
37,1,4,Handicraft,Product Selling,12th,Rural,Both,Laptop,Offline Local,Handmade Products Seller,14778
39,1,6,Cleaning,Housekeeping,8th,Semi-Urban,English,Mobile,Hybrid,Deep Cleaning Services,15552
46,2,2,Doctor,Basic Healthcare,PG,Semi-Urban,English,Both,Offline Local,Health Consultant (Online),27488
24,0,8,Commerce,Tally,UG,Semi-Urban,English,Mobile,Offline Local,Accounting Assistant,24462
23,1,5,Security,Security Monitoring,10th,Urban,Both,Mobile,Offline Local,Night Guard,12637
48,2,3,Labour,Physical Work,12th,Semi-Urban,Both,Laptop,Hybrid,Factory Worker,11114
40,2,8,IT,Graphic Designing,PG,Semi-Urban,English,Laptop,Work From Home,Graphic Designing,33202
25,2,7,E-Commerce,Order Handling,8th,Rural,English,Both,Work From Home,Product Packing,18474
39,2,4,Electrician,Wiring,UG,Semi-Urban,English,Laptop,Offline Local,Appliance Fixing,19069
26,3,8,Electrician,Wiring,UG,Semi-Urban,English,Laptop,Hybrid,Home Electrician,25653
32,1,5,Cooking,Cooking,UG,Urban,English,Laptop,Hybrid,Cooking Classes Online,19134
44,3,5,Doctor,Basic Healthcare,PG,Semi-Urban,Hindi,Laptop,Work From Home,Health Consultant (Online),28660
35,2,3,Cleaning,Sanitization,8th,Rural,Hindi,Laptop,Hybrid,Deep Cleaning Services,11290
23,1,1,Gardening,Gardening,PG,Rural,English,Both,Hybrid,Nursery Worker,12354
45,2,5,IT,Video Editing,Diploma,Urban,Both,Mobile,Hybrid,Graphic Designing,26360
36,1,1,Baking,Cake Decoration,UG,Urban,Both,Mobile,Hybrid,Custom Cake Business,12410
21,2,2,Nurse,First Aid,Diploma,Semi-Urban,Hindi,Both,Offline Local,Clinic Nurse,20117
30,1,3,Security,Security Monitoring,10th,Urban,Both,Laptop,Offline Local,Security Guard,15018
35,3,1,Labour,Helper Skills,Diploma,Urban,Both,Laptop,Hybrid,Factory Worker,11654
41,0,3,Government,Clerk Skills,UG,Urban,Hindi,Both,Offline Local,Clerk,20628
26,1,6,Commerce,Tally,UG,Semi-Urban,English,Laptop,Hybrid,Invoice Processing,23295
43,2,8,Fitness,Nutrition,No Formal,Rural,Both,Laptop,Offline Local,Yoga Instructor Online,20799
45,1,7,Baking,Baking,No Formal,Urban,English,Laptop,Hybrid,Custom Cake Business,15695
23,0,2,Banking,Data Entry,PG,Semi-Urban,Hindi,Both,Hybrid,Customer Support,19034
49,0,3,Cooking,Cooking,10th,Urban,English,Mobile,Offline Local,Home Tiffin Service,13769
37,3,2,Security,Security Monitoring,8th,Semi-Urban,Hindi,Mobile,Hybrid,Watchman,13069
44,3,8,Doctor,Consultation,PG,Urban,English,Mobile,Offline Local,Telemedicine Assistant,33150
34,3,2,Social Media,Content Writing,8th,Urban,English,Both,Hybrid,Instagram Reels Editor,15543
31,1,6,Doctor,Patient Support,No Formal,Urban,Both,Laptop,Offline Local,Clinic Support,27459
34,0,7,Gardening,Gardening,UG,Rural,English,Both,Work From Home,Nursery Worker,16719
41,3,7,Cooking,Food Packaging,No Formal,Urban,Hindi,Mobile,Hybrid,Home Tiffin Service,19210
32,4,6,Handicraft,Craft Making,8th,Urban,Hindi,Mobile,Hybrid,Jewelry Making,15105
30,1,2,Beauty,Makeup,Diploma,Semi-Urban,Hindi,Both,Offline Local,Mehndi Artist,17260
29,0,1,Fitness,Nutrition,12th,Urban,English,Laptop,Offline Local,Zumba Trainer,14580
46,1,2,Clothing,Fashion Designing,12th,Urban,Both,Laptop,Hybrid,Tailoring,14817
40,0,8,Banking,Sales,UG,Urban,English,Laptop,Hybrid,Banking Sales Agent,26338
30,4,1,Banking,Sales,10th,Semi-Urban,Hindi,Mobile,Work From Home,Back Office Assistant,17586
34,1,2,Social Media,Instagram,Diploma,Rural,Both,Mobile,Offline Local,Social Media Manager,17061
27,2,1,Clothing,Stitching,Diploma,Rural,Hindi,Both,Offline Local,Clothing Seller Online,14545
41,1,5,Handicraft,Product Selling,10th,Semi-Urban,Both,Mobile,Offline Local,Jewelry Making,15828
49,1,6,Social Media,Instagram,10th,Urban,Both,Mobile,Work From Home,Content Creator,23741
32,3,1,Fitness,Exercise Training,No Formal,Rural,Both,Mobile,Work From Home,Zumba Trainer,14556
46,2,3,Baking,Baking,Diploma,Semi-Urban,Both,Both,Hybrid,Dessert Selling Online,14347
47,2,2,Baking,Baking,12th,Urban,Hindi,Laptop,Offline Local,Custom Cake Business,14293
33,4,2,Security,Security Monitoring,8th,Rural,Both,Mobile,Offline Local,Watchman,9377
42,0,1,Fitness,Nutrition,10th,Urban,English,Both,Hybrid,Zumba Trainer,12205
38,3,4,Electrician,Electrical Repair,Diploma,Urban,English,Laptop,Hybrid,Electrical Repair Services,20683
24,1,8,E-Commerce,Inventory,No Formal,Rural,English,Both,Hybrid,Order Processing,20302
39,0,3,Doctor,Consultation,10th,Urban,Hindi,Laptop,Work From Home,Telemedicine Assistant,23771
36,1,5,Commerce,Tally,8th,Urban,Both,Mobile,Offline Local,Bookkeeping,19665
24,0,1,Cleaning,Housekeeping,12th,Semi-Urban,Hindi,Laptop,Work From Home,Deep Cleaning Services,10727
23,0,6,Teaching,Subject Knowledge,12th,Rural,Both,Mobile,Offline Local,Online Tutor,19551
46,1,3,Fitness,Exercise Training,8th,Semi-Urban,Hindi,Laptop,Offline Local,Zumba Trainer,18834
36,2,2,Cleaning,Housekeeping,Diploma,Rural,English,Mobile,Work From Home,Office Cleaning,9006
24,1,2,Fitness,Nutrition,10th,Semi-Urban,Both,Mobile,Hybrid,Diet Coach,17587
28,1,8,Nurse,First Aid,8th,Semi-Urban,Hindi,Mobile,Offline Local,Home Care Nurse,25531
30,1,7,IT,Web Development,12th,Urban,Both,Both,Work From Home,Freelancing,26997
44,3,5,Electrician,Electrical Repair,8th,Rural,Hindi,Mobile,Hybrid,Appliance Fixing,21174
39,0,5,Data Entry,Data Management,PG,Rural,Both,Laptop,Work From Home,Excel Assistant,20289
35,1,3,Commerce,Tally,UG,Rural,Both,Mobile,Offline Local,Accounting Assistant,17588
31,1,1,Teaching,Subject Knowledge,12th,Semi-Urban,Hindi,Laptop,Work From Home,Coaching Assistant,14580
48,2,2,Social Media,Instagram,12th,Rural,Both,Both,Hybrid,Social Media Manager,20270
39,2,8,Gardening,Plant Care,No Formal,Rural,Hindi,Laptop,Work From Home,Plant Selling,18053
44,0,8,Handicraft,Art,Diploma,Rural,English,Both,Work From Home,Handmade Products Seller,21667
45,3,7,IT,Graphic Designing,10th,Semi-Urban,Hindi,Mobile,Hybrid,Graphic Designing,28407
41,1,5,Cooking,Cooking,Diploma,Rural,Both,Laptop,Offline Local,Meal Prep Business,16207
29,1,3,Electrician,Appliance Maintenance,10th,Semi-Urban,Hindi,Mobile,Hybrid,Electrical Repair Services,16579
21,1,5,Baking,Chocolate Making,8th,Urban,Hindi,Both,Work From Home,Home Bakery,14874
43,0,2,Banking,Sales,10th,Urban,English,Both,Work From Home,Back Office Assistant,18871
45,3,8,Law,Legal Drafting,10th,Rural,English,Mobile,Offline Local,Legal Assistant,27819
48,2,5,Gardening,Gardening,UG,Urban,Both,Both,Work From Home,Plant Selling,15178
48,0,4,Labour,Helper Skills,No Formal,Semi-Urban,Hindi,Laptop,Work From Home,Factory Worker,9914
45,1,1,Labour,Helper Skills,10th,Urban,Hindi,Both,Offline Local,Factory Worker,11024
30,3,8,Social Media,Canva,PG,Rural,Hindi,Both,Work From Home,Social Media Manager,29760
49,4,3,Security,Security Monitoring,Diploma,Urban,Both,Mobile,Work From Home,Security Guard,15522
24,1,6,IT,Video Editing,8th,Rural,Both,Laptop,Work From Home,Web Development,26826
38,3,8,IT,Web Development,PG,Rural,English,Mobile,Work From Home,Freelancing,33754
46,0,8,Cooking,Meal Planning,12th,Rural,Hindi,Mobile,Work From Home,Cooking Classes Online,19236
41,0,8,Cooking,Cooking,8th,Rural,English,Both,Work From Home,Meal Prep Business,20315
46,1,8,Fitness,Nutrition,12th,Urban,English,Both,Work From Home,Diet Coach,20577
24,2,8,Banking,Sales,UG,Urban,English,Mobile,Offline Local,Back Office Assistant,27798
35,2,4,Labour,Loading/Unloading,No Formal,Semi-Urban,English,Laptop,Offline Local,Warehouse Helper,13672
47,3,8,Doctor,Patient Support,10th,Urban,Both,Laptop,Work From Home,Health Consultant (Online),28287
31,4,6,Electrician,Electrical Repair,10th,Semi-Urban,English,Laptop,Offline Local,Electrical Repair Services,21881
46,1,6,Electrician,Appliance Maintenance,10th,Semi-Urban,English,Laptop,Work From Home,Electrical Repair Services,19957
43,1,3,Gardening,Plant Care,Diploma,Rural,English,Laptop,Work From Home,Nursery Worker,10488
37,3,8,Labour,Physical Work,10th,Semi-Urban,English,Mobile,Offline Local,Factory Worker,19666
29,0,5,Law,Legal Drafting,10th,Semi-Urban,English,Laptop,Hybrid,Legal Assistant,21015
45,1,6,Doctor,Consultation,UG,Rural,Both,Both,Work From Home,Clinic Support,29578
25,2,7,Social Media,Canva,No Formal,Urban,Both,Laptop,Offline Local,Instagram Reels Editor,24442
44,0,1,Banking,Customer Handling,PG,Semi-Urban,Both,Laptop,Hybrid,Back Office Assistant,21379
20,0,5,Nurse,Patient Monitoring,UG,Semi-Urban,English,Both,Hybrid,Clinic Nurse,24630
46,0,7,Government,Documentation,UG,Rural,Hindi,Laptop,Offline Local,Clerk,25786
36,1,6,IT,Video Editing,UG,Rural,Both,Both,Work From Home,Web Development,29993
32,2,5,Nurse,Patient Monitoring,12th,Rural,Both,Laptop,Offline Local,Clinic Nurse,25170
48,2,5,IT,Web Development,12th,Semi-Urban,Hindi,Laptop,Work From Home,Graphic Designing,23298
46,3,7,Social Media,Content Writing,10th,Rural,English,Both,Offline Local,Instagram Reels Editor,21294
26,0,3,IT,Video Editing,8th,Urban,English,Mobile,Work From Home,Freelancing,21156
43,1,7,Commerce,Tally,PG,Urban,English,Both,Hybrid,Accounting Assistant,26268
22,4,1,IT,Web Development,No Formal,Rural,English,Mobile,Offline Local,Freelancing,18183
30,1,1,Banking,Data Entry,PG,Urban,Hindi,Laptop,Hybrid,Banking Sales Agent,19159
33,0,8,IT,Video Editing,PG,Rural,Both,Both,Work From Home,Graphic Designing,30110
41,2,4,Baking,Baking,10th,Rural,English,Both,Hybrid,Home Bakery,12485
25,2,5,Baking,Cake Decoration,12th,Rural,Both,Laptop,Hybrid,Dessert Selling Online,14085
33,1,1,Doctor,Basic Healthcare,12th,Semi-Urban,Hindi,Laptop,Hybrid,Clinic Support,24643
45,2,8,Labour,Helper Skills,UG,Urban,Hindi,Mobile,Offline Local,Factory Worker,18486
27,4,5,Baking,Cake Decoration,8th,Semi-Urban,English,Mobile,Work From Home,Dessert Selling Online,15952
41,2,4,Social Media,Canva,UG,Semi-Urban,Both,Mobile,Work From Home,Content Creator,20905
42,0,1,Clothing,Embroidery,UG,Rural,Both,Both,Work From Home,Boutique Business,13017
42,0,7,IT,Video Editing,8th,Urban,Hindi,Laptop,Work From Home,Freelancing,25511
40,1,4,Cleaning,Organization,PG,Semi-Urban,Hindi,Laptop,Offline Local,Deep Cleaning Services,14047
25,1,4,IT,Graphic Designing,10th,Rural,Hindi,Laptop,Work From Home,Graphic Designing,25912
50,0,4,Music,Singing,UG,Urban,English,Mobile,Work From Home,Instrument Tutor,17647
45,1,3,Fitness,Nutrition,Diploma,Rural,Hindi,Both,Offline Local,Diet Coach,16614
41,3,5,Teaching,Teaching,8th,Rural,Hindi,Both,Hybrid,Online Tutor,20889
27,1,2,E-Commerce,Inventory,8th,Semi-Urban,Both,Laptop,Work From Home,Catalog Manager,8978
36,2,3,Beauty,Mehndi,8th,Semi-Urban,Both,Laptop,Offline Local,Makeup Artist,17530
30,3,5,Music,Music Teaching,12th,Rural,English,Laptop,Hybrid,Singer for Events,15285
44,2,2,Data Entry,Typing,Diploma,Urban,Hindi,Both,Work From Home,Excel Assistant,14052
38,3,3,Handicraft,Craft Making,10th,Urban,Both,Both,Offline Local,Art & Craft Business,12420
32,2,3,E-Commerce,Packing,UG,Rural,Both,Mobile,Hybrid,Catalog Manager,15325
21,1,2,Labour,Helper Skills,No Formal,Urban,Both,Mobile,Work From Home,Construction Helper,10218
25,1,2,Beauty,Mehndi,PG,Rural,Hindi,Laptop,Hybrid,Home Salon,16116
39,1,4,Fitness,Yoga,No Formal,Rural,Both,Laptop,Hybrid,Yoga Instructor Online,17437
38,3,6,Cooking,Food Packaging,8th,Urban,Hindi,Laptop,Offline Local,Cooking Classes Online,13743
22,2,1,Government,Office Work,UG,Rural,Both,Laptop,Offline Local,Clerk,20742
39,1,1,E-Commerce,Order Handling,Diploma,Urban,Hindi,Laptop,Hybrid,Product Packing,11930
37,3,8,Law,Research,8th,Semi-Urban,Both,Mobile,Hybrid,Legal Assistant,25123
42,2,6,Law,Legal Drafting,No Formal,Semi-Urban,Hindi,Mobile,Offline Local,Contract Reviewer,22387
40,2,7,Doctor,Basic Healthcare,10th,Rural,Both,Laptop,Offline Local,Telemedicine Assistant,31839
37,3,6,Labour,Physical Work,12th,Rural,English,Mobile,Hybrid,Construction Helper,15826
22,0,8,Nurse,First Aid,PG,Rural,Both,Laptop,Work From Home,Patient Support Online,27944
38,3,5,Clothing,Fashion Designing,10th,Semi-Urban,Hindi,Both,Work From Home,Clothing Seller Online,15503
23,2,2,Gardening,Plant Care,No Formal,Rural,English,Mobile,Work From Home,Home Gardening Service,10165
42,1,6,Social Media,Instagram,No Formal,Rural,Both,Laptop,Work From Home,Social Media Manager,21051
38,2,4,Social Media,Canva,No Formal,Semi-Urban,Both,Laptop,Hybrid,Social Media Manager,20196
28,1,4,Electrician,Appliance Maintenance,No Formal,Rural,Both,Laptop,Offline Local,Home Electrician,18279
45,0,4,Handicraft,Product Selling,UG,Urban,Hindi,Laptop,Hybrid,Handmade Products Seller,18373
48,3,5,Teaching,Subject Knowledge,No Formal,Semi-Urban,Both,Laptop,Offline Local,Online Tutor,21583
23,2,4,Security,Discipline,8th,Semi-Urban,Both,Both,Offline Local,Security Guard,14456
30,0,5,Music,Singing,No Formal,Semi-Urban,English,Laptop,Work From Home,Instrument Tutor,17870
44,4,8,Electrician,Appliance Maintenance,PG,Urban,Both,Laptop,Work From Home,Appliance Fixing,24121
24,3,1,Gardening,Gardening,8th,Semi-Urban,English,Laptop,Offline Local,Plant Selling,10118
43,3,5,Government,Office Work,No Formal,Semi-Urban,Both,Laptop,Hybrid,Office Assistant,23830
48,3,3,Teaching,Communication,8th,Rural,Both,Laptop,Offline Local,Home Tuition,15097
31,3,4,E-Commerce,Packing,PG,Semi-Urban,English,Mobile,Offline Local,Order Processing,17855
47,0,5,Beauty,Hair Styling,No Formal,Rural,Hindi,Mobile,Work From Home,Makeup Artist,16084
43,3,8,Clothing,Stitching,UG,Semi-Urban,Both,Laptop,Offline Local,Clothing Seller Online,22579
20,0,7,Fitness,Yoga,PG,Semi-Urban,Both,Laptop,Work From Home,Zumba Trainer,24156
50,0,2,Commerce,Accounting,10th,Semi-Urban,English,Laptop,Hybrid,Bookkeeping,15785
26,3,8,E-Commerce,Order Handling,Diploma,Rural,Both,Mobile,Offline Local,Product Packing,20272
50,3,6,Fitness,Yoga,PG,Semi-Urban,English,Laptop,Work From Home,Diet Coach,21917
36,1,1,Banking,Customer Handling,10th,Semi-Urban,English,Mobile,Offline Local,Banking Sales Agent,18154
40,1,2,Nurse,Nursing Care,No Formal,Urban,Hindi,Both,Offline Local,Patient Support Online,17948
31,2,7,Data Entry,Excel,12th,Rural,Both,Mobile,Hybrid,Typing Work,17335
38,0,4,Government,Clerk Skills,UG,Semi-Urban,Both,Mobile,Work From Home,Data Entry Operator,20825
31,3,1,Handicraft,Art,UG,Rural,English,Mobile,Hybrid,Jewelry Making,11516
27,4,7,Teaching,Communication,12th,Urban,Hindi,Laptop,Hybrid,Online Tutor,21218
40,1,8,Fitness,Nutrition,Diploma,Rural,Both,Mobile,Work From Home,Yoga Instructor Online,25840
22,3,2,Law,Documentation,10th,Urban,Hindi,Both,Work From Home,Documentation Support,20584
48,1,8,Cooking,Cooking,UG,Semi-Urban,Hindi,Laptop,Offline Local,Catering Assistant,18873
46,2,8,Fitness,Nutrition,PG,Urban,Both,Both,Hybrid,Yoga Instructor Online,25246
39,2,4,Doctor,Basic Healthcare,UG,Rural,Both,Mobile,Work From Home,Health Consultant (Online),27014
26,1,7,Data Entry,Excel,Diploma,Rural,English,Both,Work From Home,Typing Work,20019
24,0,5,Handicraft,Product Selling,UG,Urban,English,Both,Work From Home,Art & Craft Business,16551
24,3,8,Social Media,Instagram,8th,Semi-Urban,Both,Both,Hybrid,Content Creator,23354
38,1,1,Government,Clerk Skills,12th,Rural,Both,Both,Work From Home,Data Entry Operator,15759
25,3,8,Cooking,Meal Planning,12th,Rural,English,Laptop,Hybrid,Catering Assistant,16706
27,1,2,Data Entry,Data Management,12th,Semi-Urban,Both,Laptop,Work From Home,Typing Work,13699
47,2,1,Music,Instrument Playing,10th,Semi-Urban,Hindi,Laptop,Hybrid,Singer for Events,11195
23,1,4,Teaching,Teaching,10th,Rural,English,Mobile,Work From Home,Home Tuition,17977
39,1,3,Data Entry,Excel,12th,Urban,Both,Both,Hybrid,Excel Assistant,11718
35,4,6,Gardening,Plant Care,UG,Rural,English,Laptop,Hybrid,Home Gardening Service,16482
21,3,8,Baking,Baking,10th,Rural,Hindi,Laptop,Work From Home,Dessert Selling Online,20840
35,1,6,Government,Office Work,PG,Semi-Urban,Hindi,Laptop,Work From Home,Data Entry Operator,24608
40,0,7,Cooking,Food Packaging,No Formal,Urban,Hindi,Mobile,Work From Home,Meal Prep Business,18185
41,1,5,Beauty,Hair Styling,12th,Rural,Both,Mobile,Offline Local,Home Salon,17125
26,0,6,Law,Legal Drafting,Diploma,Urban,Both,Both,Offline Local,Documentation Support,24989
41,1,3,Labour,Loading/Unloading,No Formal,Semi-Urban,Both,Mobile,Offline Local,Factory Worker,9682
49,2,3,Beauty,Hair Styling,PG,Semi-Urban,English,Both,Work From Home,Makeup Artist,18483
20,2,7,Teaching,Communication,No Formal,Semi-Urban,Both,Laptop,Work From Home,Online Tutor,22535
32,4,1,Clothing,Stitching,Diploma,Semi-Urban,Hindi,Mobile,Work From Home,Boutique Business,11217
23,4,5,Gardening,Plant Care,UG,Rural,English,Both,Work From Home,Home Gardening Service,15422
40,1,1,Beauty,Mehndi,12th,Urban,Both,Both,Offline Local,Mehndi Artist,13420
36,0,6,E-Commerce,Packing,8th,Rural,Both,Laptop,Hybrid,Order Processing,14256
37,1,2,IT,Graphic Designing,UG,Urban,Hindi,Mobile,Offline Local,Graphic Designing,21562
